zip_code,city,county
46001,Alexandria,Madison
46011,Anderson,Madison
46012,Anderson,Madison
46013,Anderson,Madison
46014,Anderson,Madison
46015,Anderson,Madison
46016,Anderson,Madison
46017,Anderson,Madison
46018,Anderson,Madison
46030,Arcadia,Hamilton
46031,Atlanta,Hamilton
46032,Carmel,Hamilton
46033,Carmel,Hamilton
46034,Cicero,Hamilton
46035,Colfax,Clinton
46036,Elwood,Madison
46037,Fishers,Hamilton
46038,Fishers,Hamilton
46039,Forest,Clinton
46040,Fortville,Hancock
46041,Frankfort,Clinton
46044,Frankton,Madison
46045,Goldsmith,Tipton
46047,Hobbs,Tipton
46048,Ingalls,Madison
46049,Kempton,Tipton
46050,Kirklin,Clinton
46051,Lapel,Madison
46052,Lebanon,Boone
46055,Mc Cordsville,Hancock
46056,Markleville,Madison
46057,Michigantown,Clinton
46058,Mulberry,Clinton
46060,Noblesville,Hamilton
46061,Noblesville,Hamilton
46062,Noblesville,Hamilton
46063,Orestes,Madison
46064,Pendleton,Madison
46065,Rossville,Clinton
46067,Sedalia,Clinton
46068,Sharpsville,Tipton
46069,Sheridan,Hamilton
46070,Summitville,Madison
46071,Thorntown,Boone
46072,Tipton,Tipton
46074,Westfield,Hamilton
46075,Whitestown,Boone
46076,Windfall,Tipton
46077,Zionsville,Boone
46082,Carmel,Hamilton
46102,Advance,Boone
46103,Amo,Hendricks
46104,Arlington,Rush
46105,Bainbridge,Putnam
46106,Bargersville,Johnson
46107,Beech Grove,Marion
46110,Boggstown,Shelby
46111,Brooklyn,Morgan
46112,Brownsburg,Hendricks
46113,Camby,Morgan
46115,Carthage,Rush
46117,Charlottesville,Hancock
46118,Clayton,Hendricks
46120,Cloverdale,Putnam
46121,Coatesville,Putnam
46122,Danville,Hendricks
46123,Avon,Hendricks
46124,Edinburgh,Johnson
46125,Eminence,Morgan
46126,Fairland,Shelby
46127,Falmouth,Rush
46128,Fillmore,Putnam
46129,Finly,Hancock
46130,Fountaintown,Shelby
46131,Franklin,Johnson
46133,Glenwood,Fayette
46135,Greencastle,Putnam
46140,Greenfield,Hancock
46142,Greenwood,Johnson
46143,Greenwood,Johnson
46144,Gwynneville,Shelby
46146,Homer,Rush
46147,Jamestown,Boone
46148,Knightstown,Henry
46149,Lizton,Hendricks
46150,Manilla,Rush
46151,Martinsville,Morgan
46154,Maxwell,Hancock
46155,Mays,Rush
46156,Milroy,Rush
46157,Monrovia,Morgan
46158,Mooresville,Morgan
46160,Morgantown,Morgan
46161,Morristown,Shelby
46162,Needham,Johnson
46163,New Palestine,Hancock
46164,Nineveh,Johnson
46165,North Salem,Hendricks
46166,Paragon,Morgan
46167,Pittsboro,Hendricks
46168,Plainfield,Hendricks
46170,Putnamville,Putnam
46171,Reelsville,Putnam
46172,Roachdale,Putnam
46173,Rushville,Rush
46175,Russellville,Putnam
46176,Shelbyville,Shelby
46180,Stilesville,Hendricks
46181,Trafalgar,Johnson
46182,Waldron,Shelby
46183,West Newton,Marion
46184,Whiteland,Johnson
46186,Wilkinson,Hancock
46201,Indianapolis,Marion
46202,Indianapolis,Marion
46203,Indianapolis,Marion
46204,Indianapolis,Marion
46205,Indianapolis,Marion
46206,Indianapolis,Marion
46207,Indianapolis,Marion
46208,Indianapolis,Marion
46209,Indianapolis,Marion
46211,Indianapolis,Marion
46214,Indianapolis,Marion
46216,Indianapolis,Marion
46217,Indianapolis,Marion
46218,Indianapolis,Marion
46219,Indianapolis,Marion
46220,Indianapolis,Marion
46221,Indianapolis,Marion
46222,Indianapolis,Marion
46223,Indianapolis,Marion
46224,Indianapolis,Marion
46225,Indianapolis,Marion
46226,Indianapolis,Marion
46227,Indianapolis,Marion
46228,Indianapolis,Marion
46229,Indianapolis,Marion
46230,Indianapolis,Marion
46231,Indianapolis,Marion
46234,Indianapolis,Marion
46235,Indianapolis,Marion
46236,Indianapolis,Marion
46237,Indianapolis,Marion
46239,Indianapolis,Marion
46240,Indianapolis,Marion
46241,Indianapolis,Marion
46242,Indianapolis,Marion
46244,Indianapolis,Marion
46247,Indianapolis,Marion
46249,Indianapolis,Marion
46250,Indianapolis,Marion
46251,Indianapolis,Marion
46253,Indianapolis,Marion
46254,Indianapolis,Marion
46255,Indianapolis,Marion
46256,Indianapolis,Marion
46259,Indianapolis,Marion
46260,Indianapolis,Marion
46262,Indianapolis,Marion
46266,Indianapolis,Marion
46268,Indianapolis,Marion
46274,Indianapolis,Marion
46275,Indianapolis,Marion
46277,Indianapolis,Marion
46278,Indianapolis,Marion
46280,Indianapolis,Hamilton
46282,Indianapolis,Marion
46283,Indianapolis,Marion
46285,Indianapolis,Marion
46290,Indianapolis,Hamilton
46291,Indianapolis,Marion
46295,Indianapolis,Marion
46296,Indianapolis,Marion
46298,Indianapolis,Marion
46301,Beverly Shores,Porter
46302,Boone Grove,Porter
46303,Cedar Lake,Lake
46304,Chesterton,Porter
46307,Crown Point,Lake
46308,Crown Point,Lake
46310,Demotte,Jasper
46311,Dyer,Lake
46312,East Chicago,Lake
46319,Griffith,Lake
46320,Hammond,Lake
46321,Munster,Lake
46322,Highland,Lake
46323,Hammond,Lake
46324,Hammond,Lake
46325,Hammond,Lake
46327,Hammond,Lake
46340,Hanna,La Porte
46341,Hebron,Porter
46342,Hobart,Lake
46345,Kingsbury,La Porte
46346,Kingsford Heights,La Porte
46347,Kouts,Porter
46348,La Crosse,La Porte
46349,Lake Village,Newton
46350,La Porte,La Porte
46352,La Porte,La Porte
46355,Leroy,Lake
46356,Lowell,Lake
46360,Michigan City,La Porte
46361,Michigan City,La Porte
46365,Mill Creek,La Porte
46366,North Judson,Starke
46368,Portage,Porter
46371,Rolling Prairie,La Porte
46372,Roselawn,Newton
46373,Saint John,Lake
46374,San Pierre,Starke
46375,Schererville,Lake
46376,Schneider,Lake
46377,Shelby,Lake
46379,Sumava Resorts,Newton
46380,Tefft,Jasper
46381,Thayer,Newton
46382,Union Mills,La Porte
46383,Valparaiso,Porter
46384,Valparaiso,Porter
46385,Valparaiso,Porter
46390,Wanatah,La Porte
46391,Westville,La Porte
46392,Wheatfield,Jasper
46393,Wheeler,Porter
46394,Whiting,Lake
46401,Gary,Lake
46402,Gary,Lake
46403,Gary,Lake
46404,Gary,Lake
46405,Lake Station,Lake
46406,Gary,Lake
46407,Gary,Lake
46408,Gary,Lake
46409,Gary,Lake
46410,Merrillville,Lake
46411,Merrillville,Lake
46501,Argos,Marshall
46502,Atwood,Kosciusko
46504,Bourbon,Marshall
46506,Bremen,Marshall
46507,Bristol,Elkhart
46508,Burket,Kosciusko
46510,Claypool,Kosciusko
46511,Culver,Marshall
46513,Donaldson,Marshall
46514,Elkhart,Elkhart
46515,Elkhart,Elkhart
46516,Elkhart,Elkhart
46517,Elkhart,Elkhart
46524,Etna Green,Kosciusko
46526,Goshen,Elkhart
46527,Goshen,Elkhart
46528,Goshen,Elkhart
46530,Granger,St Joseph
46531,Grovertown,Starke
46532,Hamlet,Starke
46534,Knox,Starke
46536,Lakeville,St Joseph
46537,Lapaz,Marshall
46538,Leesburg,Kosciusko
46539,Mentone,Kosciusko
46540,Middlebury,Elkhart
46542,Milford,Kosciusko
46543,Millersburg,Elkhart
46544,Mishawaka,St Joseph
46545,Mishawaka,St Joseph
46546,Mishawaka,St Joseph
46550,Nappanee,Elkhart
46552,New Carlisle,St Joseph
46553,New Paris,Elkhart
46554,North Liberty,St Joseph
46555,North Webster,Kosciusko
46556,Notre Dame,St Joseph
46561,Osceola,St Joseph
46562,Pierceton,Kosciusko
46563,Plymouth,Marshall
46565,Shipshewana,Lagrange
46567,Syracuse,Kosciusko
46570,Tippecanoe,Marshall
46571,Topeka,Lagrange
46572,Tyner,Marshall
46573,Wakarusa,Elkhart
46574,Walkerton,St Joseph
46580,Warsaw,Kosciusko
46581,Warsaw,Kosciusko
46582,Warsaw,Kosciusko
46590,Winona Lake,Kosciusko
46595,Wyatt,St Joseph
46601,South Bend,St Joseph
46604,South Bend,St Joseph
46613,South Bend,St Joseph
46614,South Bend,St Joseph
46615,South Bend,St Joseph
46616,South Bend,St Joseph
46617,South Bend,St Joseph
46619,South Bend,St Joseph
46620,South Bend,St Joseph
46624,South Bend,St Joseph
46626,South Bend,St Joseph
46628,South Bend,St Joseph
46634,South Bend,St Joseph
46635,South Bend,St Joseph
46637,South Bend,St Joseph
46660,South Bend,St Joseph
46680,South Bend,St Joseph
46699,South Bend,St Joseph
46701,Albion,Noble
46702,Andrews,Huntington
46703,Angola,Steuben
46704,Arcola,Allen
46705,Ashley,De Kalb
46706,Auburn,De Kalb
46710,Avilla,Noble
46711,Berne,Adams
46713,Bippus,Huntington
46714,Bluffton,Wells
46721,Butler,De Kalb
46723,Churubusco,Whitley
46725,Columbia City,Whitley
46730,Corunna,De Kalb
46731,Craigville,Wells
46732,Cromwell,Noble
46733,Decatur,Adams
46737,Fremont,Steuben
46738,Garrett,De Kalb
46740,Geneva,Adams
46741,Grabill,Allen
46742,Hamilton,Steuben
46743,Harlan,Allen
46745,Hoagland,Allen
46746,Howe,Lagrange
46747,Hudson,Steuben
46748,Huntertown,Allen
46750,Huntington,Huntington
46755,Kendallville,Noble
46759,Keystone,Wells
46760,Kimmell,Noble
46761,Lagrange,Lagrange
46763,Laotto,Noble
46764,Larwill,Whitley
46765,Leo,Allen
46766,Liberty Center,Wells
46767,Ligonier,Noble
46769,Linn Grove,Adams
46770,Markle,Wells
46771,Mongo,Lagrange
46772,Monroe,Adams
46773,Monroeville,Allen
46774,New Haven,Allen
46776,Orland,Steuben
46777,Ossian,Wells
46778,Petroleum,Wells
46779,Pleasant Lake,Steuben
46780,Pleasant Mills,Adams
46781,Poneto,Wells
46782,Preble,Adams
46783,Roanoke,Huntington
46784,Rome City,Noble
46785,Saint Joe,De Kalb
46786,South Milford,Lagrange
46787,South Whitley,Whitley
46788,Spencerville,Allen
46789,Stroh,Lagrange
46791,Uniondale,Wells
46792,Warren,Huntington
46793,Waterloo,De Kalb
46794,Wawaka,Noble
46795,Wolcottville,Lagrange
46796,Wolflake,Noble
46797,Woodburn,Allen
46798,Yoder,Allen
46799,Zanesville,Allen
46801,Fort Wayne,Allen
46802,Fort Wayne,Allen
46803,Fort Wayne,Allen
46804,Fort Wayne,Allen
46805,Fort Wayne,Allen
46806,Fort Wayne,Allen
46807,Fort Wayne,Allen
46808,Fort Wayne,Allen
46809,Fort Wayne,Allen
46814,Fort Wayne,Allen
46815,Fort Wayne,Allen
46816,Fort Wayne,Allen
46818,Fort Wayne,Allen
46819,Fort Wayne,Allen
46825,Fort Wayne,Allen
46835,Fort Wayne,Allen
46845,Fort Wayne,Allen
46850,Fort Wayne,Allen
46851,Fort Wayne,Allen
46852,Fort Wayne,Allen
46853,Fort Wayne,Allen
46854,Fort Wayne,Allen
46855,Fort Wayne,Allen
46856,Fort Wayne,Allen
46857,Fort Wayne,Allen
46858,Fort Wayne,Allen
46859,Fort Wayne,Allen
46860,Fort Wayne,Allen
46861,Fort Wayne,Allen
46862,Fort Wayne,Allen
46863,Fort Wayne,Allen
46864,Fort Wayne,Allen
46865,Fort Wayne,Allen
46866,Fort Wayne,Allen
46867,Fort Wayne,Allen
46868,Fort Wayne,Allen
46869,Fort Wayne,Allen
46885,Fort Wayne,Allen
46895,Fort Wayne,Allen
46896,Fort Wayne,Allen
46897,Fort Wayne,Allen
46898,Fort Wayne,Allen
46899,Fort Wayne,Allen
46901,Kokomo,Howard
46902,Kokomo,Howard
46903,Kokomo,Howard
46904,Kokomo,Howard
46910,Akron,Fulton
46911,Amboy,Miami
46912,Athens,Fulton
