Year,League,Team,Division,Rank,Name
2017,NL,ARI,W,2,Arizona Diamondbacks
2017,NL,ATL,E,3,Atlanta Braves
2017,AL,BAL,E,5,Baltimore Orioles
2017,AL,BOS,E,1,Boston Red Sox
2017,AL,CHA,C,4,Chicago White Sox
2017,NL,CHN,C,1,Chicago Cubs
2017,NL,CIN,C,5,Cincinnati Reds
2017,AL,CLE,C,1,Cleveland Indians
2017,NL,COL,W,3,Colorado Rockies
2017,AL,DET,C,5,Detroit Tigers
2017,AL,HOU,W,1,Houston Astros
2017,AL,KCA,C,3,Kansas City Royals
2017,AL,LAA,W,2,Los Angeles Angels of Anaheim
2017,NL,LAN,W,1,Los Angeles Dodgers
2017,NL,MIA,E,2,Miami Marlins
2017,NL,MIL,C,2,Milwaukee Brewers
2017,AL,MIN,C,2,Minnesota Twins
2017,AL,NYA,E,2,New York Yankees
2017,NL,NYN,E,4,New York Mets
2017,AL,OAK,W,5,Oakland Athletics
2017,NL,PHI,E,5,Philadelphia Phillies
2017,NL,PIT,C,4,Pittsburgh Pirates
2017,NL,SDN,W,4,San Diego Padres
2017,AL,SEA,W,3,Seattle Mariners
2017,NL,SFN,W,5,San Francisco Giants
2017,NL,SLN,C,3,St. Louis Cardinals
2017,AL,TBA,E,3,Tampa Bay Rays
2017,AL,TEX,W,4,Texas Rangers
2017,AL,TOR,E,4,Toronto Blue Jays
2017,NL,WAS,E,1,Washington Nationals
